date,description,amount,category
2026-03-02,Microsoft 365 Business Premium,-2800,Software
2026-03-02,Client invoice - Coloplast A/S,78000,Revenue
2026-03-02,Client invoice - Lundbeck A/S,45000,Revenue
2026-03-02,Client invoice - Grundfos A/S,46000,Revenue
2026-03-02,Client invoice - Falck A/S,55000,Revenue
2026-03-02,Client invoice - Arla Foods,71000,Revenue
2026-03-02,Bank fees - Danske Bank Erhverv,-1200,Banking
2026-03-02,Adobe Creative Cloud team,-3600,Software
2026-03-02,Figma organization license,-4800,Software
2026-03-03,Payroll taxes and pension contributions,-23400,Payroll
2026-03-03,Slack Business+ subscription,-900,Software
2026-03-03,Client invoice - Copenhagen Airport,104000,Revenue
2026-03-03,Client invoice - Arla Foods,39000,Revenue
2026-03-03,Client invoice - Grundfos A/S,73000,Revenue
2026-03-03,VAT payment - Skattestyrelsen,-44900,VAT
2026-03-03,Print materials and branding,-4600,Marketing
2026-03-03,Domain and hosting - one.com,-700,Software
2026-03-04,Pension provider - Danica Pension,-12400,Payroll
2026-03-04,Notion Teams subscription,-600,Software
2026-03-04,Client invoice - Pandora A/S,62000,Revenue
2026-03-04,Client invoice - Tryg Forsikring,32000,Revenue
2026-03-04,Client invoice - Tryg Forsikring,38000,Revenue
2026-03-04,Client invoice - TDC Erhverv,55000,Revenue
2026-03-04,HR consulting,-15100,Professional Services
2026-03-04,Recruitment fee - Compass Human Resources,-29400,Professional Services
2026-03-05,Mobile and internet - business,-2100,Utilities
2026-03-05,Cleaning service - CleanDK,-4200,Office
2026-03-05,Client invoice - GN Audio A/S,82000,Revenue
2026-03-05,Client invoice - Arla Foods,68000,Revenue
2026-03-05,Client invoice - Maersk A/S,53000,Revenue
2026-03-05,Client invoice - Lundbeck A/S,44000,Revenue
2026-03-05,Client invoice - Lundbeck A/S,68000,Revenue
2026-03-05,Accountant fees - Deloitte,-7600,Professional Services
2026-03-05,AWS hosting and cloud infrastructure,-5400,Software
2026-03-06,Loan repayment - Danske Bank,-18500,Financing
2026-03-06,Canteen and catering service,-6800,Entertainment
2026-03-06,Client invoice - GN Audio A/S,52000,Revenue
2026-03-06,Client invoice - Rockwool International,46000,Revenue
2026-03-06,Client invoice - Coloplast A/S,85000,Revenue
2026-03-06,Client invoice - Danske Bank,81000,Revenue
2026-03-06,Patent filing fee,-9400,Legal
2026-03-06,Team offsite - Bornholm,-18600,Entertainment
2026-03-09,Team lunch,-5700,Entertainment
2026-03-09,Contractor invoice - backend development,-40600,Contractors
2026-03-09,Adobe Creative Cloud team,-3600,Software
2026-03-10,Client invoice - Pandora A/S,63000,Revenue
2026-03-10,Client invoice - Ørsted A/S,66000,Revenue
2026-03-10,Client invoice - Rockwool International,47000,Revenue
2026-03-10,Client invoice - Rockwool International,62000,Revenue
2026-03-10,Client invoice - ISS A/S,55000,Revenue
2026-03-11,Client invoice - Rockwool International,57000,Revenue
2026-03-11,Client invoice - Coloplast A/S,71000,Revenue
2026-03-11,Client invoice - LEGO A/S,126000,Revenue
2026-03-11,Client invoice - Coloplast A/S,79000,Revenue
2026-03-11,Client invoice - Tryg Forsikring,43000,Revenue
2026-03-11,Client invoice - Novo Nordisk A/S,47000,Revenue
2026-03-11,Travel - Oslo partner meetings,-7600,Travel
2026-03-11,Recruitment fee - Compass Human Resources,-24300,Professional Services
2026-03-11,Contractor invoice - data analysis,-14800,Contractors
2026-03-12,Client invoice - LEGO A/S,77000,Revenue
2026-03-12,Client invoice - Danske Bank,59000,Revenue
2026-03-12,Client invoice - Rockwool International,33000,Revenue
2026-03-12,Client invoice - GN Audio A/S,71000,Revenue
2026-03-12,Client invoice - Grundfos A/S,37000,Revenue
2026-03-12,Recruitment fee - Compass Human Resources,-32100,Professional Services
2026-03-12,Domain and hosting - one.com,-700,Software
2026-03-12,Contractor invoice - backend development,-26900,Contractors
2026-03-13,Client invoice - Arla Foods,58000,Revenue
2026-03-13,Client invoice - Danske Bank,72000,Revenue
2026-03-13,Client invoice - Arla Foods,54000,Revenue
2026-03-13,Client invoice - SimCorp A/S,92000,Revenue
2026-03-13,Client invoice - Copenhagen Airport,57000,Revenue
2026-03-13,Client invoice - Pandora A/S,90000,Revenue
2026-03-13,Adobe Creative Cloud team,-3600,Software
2026-03-13,LinkedIn ads campaign,-17900,Marketing
2026-03-16,Client invoice - SimCorp A/S,59000,Revenue
2026-03-16,Client invoice - TDC Erhverv,75000,Revenue
2026-03-16,Client invoice - Grundfos A/S,52000,Revenue
2026-03-16,Client invoice - Lundbeck A/S,47000,Revenue
2026-03-16,Hardware - MacBook Pro,-18100,Equipment
2026-03-16,Freelancer - video production,-14500,Contractors
2026-03-17,Client invoice - DSB,48000,Revenue
2026-03-17,Client invoice - Tryg Forsikring,32000,Revenue
2026-03-17,Client invoice - Copenhagen Airport,82000,Revenue
2026-03-17,Client invoice - Lundbeck A/S,86000,Revenue
2026-03-17,Google Ads,-10400,Marketing
2026-03-17,HR consulting,-14100,Professional Services
2026-03-17,Contractor invoice - data analysis,-14300,Contractors
2026-03-18,Travel - Berlin tech summit,-13800,Travel
2026-03-18,Contractor invoice - data analysis,-12500,Contractors
2026-03-19,Client invoice - William Demant,59000,Revenue
2026-03-19,Client invoice - Falck A/S,63000,Revenue
2026-03-19,Client invoice - Vestas Wind Systems,42000,Revenue
2026-03-19,Client invoice - Novo Nordisk A/S,72000,Revenue
2026-03-19,VAT payment - Skattestyrelsen,-42300,VAT
2026-03-19,Bank fees - Danske Bank Erhverv,-1500,Banking
2026-03-20,Client invoice - Pandora A/S,87000,Revenue
2026-03-20,Client invoice - Vestas Wind Systems,76000,Revenue
2026-03-20,Client invoice - DSB,31000,Revenue
2026-03-23,Client invoice - Danske Bank,67000,Revenue
2026-03-23,Client invoice - Grundfos A/S,73000,Revenue
2026-03-23,Client invoice - Novo Nordisk A/S,143000,Revenue
2026-03-23,Client invoice - GN Audio A/S,38000,Revenue
2026-03-23,AWS hosting and cloud infrastructure,-7100,Software
2026-03-23,Technical training - AWS certification,-9700,Education
2026-03-24,Hardware - MacBook Pro,-21600,Equipment
2026-03-24,Friday bar and social events,-3900,Entertainment
2026-03-25,Client invoice - Danfoss A/S,84000,Revenue
2026-03-25,Client invoice - LEGO A/S,123000,Revenue
2026-03-25,Client invoice - Pandora A/S,83000,Revenue
2026-03-25,Office furniture - standing desks,-21100,Office
2026-03-25,Adobe Creative Cloud team,-3600,Software
2026-03-25,Travel - client meetings Copenhagen,-4900,Travel
2026-03-26,Client invoice - TDC Erhverv,52000,Revenue
2026-03-26,Client invoice - Nordea Danmark,42000,Revenue
2026-03-26,Client invoice - Danske Bank,49000,Revenue
2026-03-26,Client invoice - Falck A/S,30000,Revenue
2026-03-26,Client invoice - Rockwool International,43000,Revenue
2026-03-26,Office supplies,-5100,Office
2026-03-26,HR consulting,-11800,Professional Services
2026-03-27,Client invoice - LEGO A/S,106000,Revenue
2026-03-27,Client invoice - Coloplast A/S,49000,Revenue
2026-03-27,Client invoice - LEGO A/S,76000,Revenue
2026-03-27,Client invoice - Novo Nordisk A/S,64000,Revenue
2026-03-27,Client invoice - Danske Bank,67000,Revenue
2026-03-27,Client invoice - Bestseller A/S,46000,Revenue
2026-03-27,Domain and hosting - one.com,-1000,Software
2026-03-27,Domain and hosting - one.com,-700,Software
2026-03-27,Team offsite - Bornholm,-32500,Entertainment
2026-03-30,Client invoice - Tryg Forsikring,49000,Revenue
2026-03-30,Client invoice - Danske Bank,80000,Revenue
2026-03-30,Client invoice - SimCorp A/S,63000,Revenue
2026-03-31,Client invoice - Rockwool International,52000,Revenue
2026-03-31,Client invoice - Danfoss A/S,97000,Revenue
2026-03-31,Client invoice - Lundbeck A/S,73000,Revenue
2026-03-31,Contractor invoice - data analysis,-9100,Contractors
2026-03-31,HR consulting,-16000,Professional Services
2026-04-01,Office rent - Nordhavn,-14500,Rent
2026-04-01,Electricity and district heating,-3200,Utilities
2026-04-01,Salesforce CRM monthly,-4800,Software
2026-04-01,Client invoice - Coloplast A/S,48000,Revenue
2026-04-01,Client invoice - Rockwool International,53000,Revenue
2026-04-01,Client invoice - DSB,43000,Revenue
2026-04-01,Client invoice - Maersk A/S,75000,Revenue
2026-04-01,Client invoice - Vestas Wind Systems,84000,Revenue
2026-04-01,Client invoice - Vestas Wind Systems,43000,Revenue
2026-04-01,Legal fees - Plesner Advokatpartnerselskab,-15700,Professional Services
2026-04-01,VAT payment - Skattestyrelsen,-49300,VAT
2026-04-01,Print materials and branding,-3000,Marketing
2026-04-02,Salary payments - 5 employees,-78000,Payroll
2026-04-02,Microsoft 365 Business Premium,-2800,Software
2026-04-02,Market research report,-14200,Research
2026-04-02,Recruitment fee - Compass Human Resources,-38300,Professional Services
2026-04-02,Figma organization license,-4800,Software
2026-04-03,Payroll taxes and pension contributions,-23400,Payroll
2026-04-03,Slack Business+ subscription,-900,Software
2026-04-03,Client invoice - Nordea Danmark,78000,Revenue
2026-04-03,Client invoice - LEGO A/S,143000,Revenue
2026-04-03,Client invoice - Ørsted A/S,122000,Revenue
2026-04-03,Client invoice - Bestseller A/S,58000,Revenue
2026-04-03,Market research report,-13600,Research
2026-04-03,Hardware - monitors and peripherals,-10800,Equipment
2026-04-03,VAT payment - Skattestyrelsen,-63400,VAT
2026-04-04,Pension provider - Danica Pension,-12400,Payroll
2026-04-04,Notion Teams subscription,-600,Software
2026-04-05,Mobile and internet - business,-2100,Utilities
2026-04-05,Cleaning service - CleanDK,-4200,Office
2026-04-06,Loan repayment - Danske Bank,-18500,Financing
2026-04-06,Canteen and catering service,-6800,Entertainment
2026-04-06,Client invoice - Nordea Danmark,44000,Revenue
2026-04-06,Client invoice - ISS A/S,70000,Revenue
2026-04-06,Client invoice - Pandora A/S,48000,Revenue
2026-04-06,Conference tickets - Web Summit,-13500,Education
2026-04-06,Team offsite - Bornholm,-19500,Entertainment
2026-04-07,Client invoice - Carlsberg Group,63000,Revenue
2026-04-07,Client invoice - Lundbeck A/S,73000,Revenue
2026-04-07,Client invoice - Falck A/S,29000,Revenue
2026-04-07,Client invoice - Carlsberg Group,36000,Revenue
2026-04-07,Travel - Berlin tech summit,-10800,Travel
2026-04-07,Adobe Creative Cloud team,-3600,Software
2026-04-08,Client invoice - Vestas Wind Systems,87000,Revenue
2026-04-08,Client invoice - Pandora A/S,43000,Revenue
2026-04-08,Client invoice - Pandora A/S,55000,Revenue
2026-04-09,Office furniture - standing desks,-19800,Office
2026-04-09,Adobe Creative Cloud team,-3600,Software
2026-04-10,Client invoice - LEGO A/S,98000,Revenue
2026-04-10,Client invoice - DSB,40000,Revenue
2026-04-10,Client invoice - Novo Nordisk A/S,127000,Revenue
2026-04-10,Client invoice - Bestseller A/S,35000,Revenue
2026-04-10,Client invoice - Coloplast A/S,70000,Revenue
2026-04-13,Client invoice - Arla Foods,49000,Revenue
2026-04-13,Client invoice - Falck A/S,52000,Revenue
2026-04-13,Client invoice - Danfoss A/S,59000,Revenue
2026-04-13,Client invoice - Rockwool International,57000,Revenue
2026-04-13,PR agency retainer - Monday Kommunikation,-20200,Marketing
2026-04-13,SEO agency - Obsidian Digital,-8100,Marketing
2026-04-13,PR agency retainer - Monday Kommunikation,-12300,Marketing
2026-04-14,Client invoice - Danfoss A/S,54000,Revenue
2026-04-14,Client invoice - Novo Nordisk A/S,99000,Revenue
2026-04-14,Client invoice - Rockwool International,50000,Revenue
2026-04-14,Office furniture - standing desks,-17500,Office
2026-04-14,Friday bar and social events,-5300,Entertainment
2026-04-15,Client invoice - Danfoss A/S,95000,Revenue
2026-04-15,Client invoice - Copenhagen Airport,93000,Revenue
2026-04-15,Client invoice - Coloplast A/S,71000,Revenue
2026-04-15,Client invoice - DSB,41000,Revenue
2026-04-15,Client invoice - Danske Bank,43000,Revenue
2026-04-15,Contractor invoice - data analysis,-18000,Contractors
2026-04-15,Travel - client meetings Copenhagen,-3700,Travel
2026-04-15,Travel - London conference,-20800,Travel
2026-04-16,Client invoice - DSB,37000,Revenue
2026-04-16,Client invoice - Vestas Wind Systems,91000,Revenue
2026-04-16,Client invoice - Ørsted A/S,131000,Revenue
2026-04-16,Client invoice - Copenhagen Airport,94000,Revenue
2026-04-16,Client invoice - Coloplast A/S,86000,Revenue
2026-04-16,Team offsite - Bornholm,-22800,Entertainment
2026-04-16,Conference tickets - Web Summit,-11400,Education
2026-04-16,SEO agency - Obsidian Digital,-10200,Marketing
2026-04-17,Client invoice - ISS A/S,44000,Revenue
2026-04-17,Client invoice - Ørsted A/S,65000,Revenue
2026-04-17,Client invoice - Grundfos A/S,57000,Revenue
2026-04-17,Travel - Berlin tech summit,-11600,Travel
2026-04-17,Friday bar and social events,-6700,Entertainment
2026-04-20,Client invoice - DSB,25000,Revenue
2026-04-20,Client invoice - DSB,38000,Revenue
2026-04-20,Client invoice - Lundbeck A/S,46000,Revenue
2026-04-20,Client invoice - TDC Erhverv,38000,Revenue
2026-04-20,Client invoice - Danske Bank,49000,Revenue
2026-04-20,Team offsite - Bornholm,-30500,Entertainment
2026-04-20,Conference tickets - Web Summit,-12600,Education
2026-04-21,Client invoice - Pandora A/S,68000,Revenue
2026-04-21,Client invoice - Tryg Forsikring,53000,Revenue
2026-04-21,Client invoice - Copenhagen Airport,97000,Revenue
2026-04-21,Client invoice - Pandora A/S,69000,Revenue
2026-04-22,Legal fees - Plesner Advokatpartnerselskab,-17700,Professional Services
2026-04-22,Corporation tax prepayment - Skattestyrelsen,-40000,Tax
2026-04-23,Client invoice - Danske Bank,83000,Revenue
2026-04-23,Client invoice - Rockwool International,29000,Revenue
2026-04-23,Client invoice - Coloplast A/S,35000,Revenue
2026-04-24,Client invoice - Novo Nordisk A/S,54000,Revenue
2026-04-24,Client invoice - Maersk A/S,73000,Revenue
2026-04-24,Client invoice - Novo Nordisk A/S,76000,Revenue
2026-04-24,Client invoice - Maersk A/S,67000,Revenue
2026-04-24,Client invoice - Maersk A/S,60000,Revenue
2026-04-24,Client invoice - Maersk A/S,54000,Revenue
2026-04-24,LinkedIn Learning team license,-6300,Education
2026-04-24,Office furniture - standing desks,-19300,Office
2026-04-24,Conference tickets - Web Summit,-15600,Education
